dataset,validacion,modelo,exactitud,exactitud_porcentaje,exactitud_media_folds,predicciones_evaluadas,tiempo_segundos
wine,Hold-Out 80/20,Naive Bayes desde cero,0.9722222222222222,97.2222,0.9722222222222222,36,0.0005333590006557642
wine,Hold-Out 80/20,Scikit-learn GaussianNB,0.9722222222222222,97.2222,0.9722222222222222,36,0.0020753100006913883
wine,10-Fold Cross-Validation,Naive Bayes desde cero,0.9719101123595506,97.191,0.97218782249742,178,0.0023193449997052085
wine,10-Fold Cross-Validation,Scikit-learn GaussianNB,0.9719101123595506,97.191,0.97218782249742,178,0.0086589249995086
wine,Leave-One-Out,Naive Bayes desde cero,0.9775280898876404,97.7528,0.9775280898876404,178,0.03844736900009593
wine,Leave-One-Out,Scikit-learn GaussianNB,0.9775280898876404,97.7528,0.9775280898876404,178,0.11759077099941351
iris,Hold-Out 80/20,Naive Bayes desde cero,0.9666666666666667,96.6667,0.9666666666666667,30,0.0004257199998392025
iris,Hold-Out 80/20,Scikit-learn GaussianNB,0.9666666666666667,96.6667,0.9666666666666667,30,0.0009040209997692727
iris,10-Fold Cross-Validation,Naive Bayes desde cero,0.9533333333333334,95.3333,0.9533333333333334,150,0.0018548349999036873
iris,10-Fold Cross-Validation,Scikit-learn GaussianNB,0.9533333333333334,95.3333,0.9533333333333334,150,0.006313279000096372
iris,Leave-One-Out,Naive Bayes desde cero,0.9533333333333334,95.3333,0.9533333333333334,150,0.027191293999749178
iris,Leave-One-Out,Scikit-learn GaussianNB,0.9533333333333334,95.3333,0.9533333333333334,150,0.08699219099980837
